gcl,a_menor_25_0,a_menor_25_1,a_maior_igual_25_0,a_maior_igual_25_1,b_menor_25_0,b_menor_25_1,b_maior_igual_25_0,b_maior_igual_25_1
-1,60,60,60,65,30,30,35,35
-2,60,60,60,65,30,30,35,35
2,60,55,60,60,30,25,35,30
3,60,55,60,60,30,25,35,30
4,60,55,60,60,30,25,35,30
5,60,55,60,60,35,30,35,30
6,60,55,60,60,35,30,35,30
7,60,50,60,55,30,25,35,30
8,60,50,60,55,30,25,35,30
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
